schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00256900,University of Nevada - Las Vegas,2023,2022,110,55,55,0,0,26,51,19,32,0,0,12,59,36,23,0,0,14,6,6,0,,,
00258903,University of New Hampshire,2023,2022,143,70,64,0,9,10,31,15,16,0,0,3,112,55,48,0,9,7,4,4,0,,,
00262900,Rutgers University,2023,2022,225,121,104,0,0,51,122,59,63,0,0,34,103,62,41,0,0,17,12,12,0,,,
00263201,Seton Hall University,2023,2022,166,91,73,1,1,27,57,27,29,1,0,9,109,64,44,0,1,18,5,5,0,,,
00266300,University of New Mexico,2023,2022,106,48,58,0,0,42,44,19,25,0,0,22,62,29,33,0,0,20,7,7,0,,,
00267700,Brooklyn Law School,2023,2022,219,135,81,0,3,50,69,27,42,0,0,20,150,108,39,0,3,30,9,8,1,,,
00270711,Columbia University,2023,2022,450,274,175,1,0,98,142,87,54,1,0,35,308,187,121,0,0,63,20,19,1,,,
00271101,Cornell University,2023,2022,213,130,83,0,0,33,77,44,33,0,0,18,136,86,50,0,0,15,9,8,1,,,
00272203,Fordham University,2023,2022,423,238,185,0,0,82,84,45,39,0,0,19,339,193,146,0,0,63,11,10,1,,,
00273200,Hofstra University,2023,2022,158,93,65,0,0,25,53,27,26,0,0,10,105,66,39,0,0,15,7,7,0,,,
00278300,New York Law School,2023,2022,232,124,102,0,6,46,47,23,24,0,0,8,185,101,78,0,6,38,12,10,2,,,
00278500,New York University,2023,2022,399,243,156,0,0,83,163,104,59,0,0,41,236,139,97,0,0,42,17,17,0,,,
00279102,Pace University,2023,2022,145,80,64,0,0,20,36,18,18,0,0,7,108,62,46,0,0,13,4,4,0,,,
00282300,"St. John's University",2023,2022,168,80,86,2,0,33,43,19,23,1,0,11,125,61,63,1,0,22,4,4,0,,,
00283700,University of Buffalo-SUNY,2023,2022,108,59,49,0,0,5,49,25,24,0,0,5,59,34,25,0,0,0,12,12,0,,,
00288200,Syracuse University,2023,2022,92,54,38,0,0,13,52,25,27,0,0,11,40,29,11,0,0,2,8,7,1,,,
00288600,Albany Law School of Union University,2023,2022,99,49,49,0,1,16,44,19,25,0,0,9,55,30,24,0,1,7,6,6,0,,,
00290301,Cardozo School of Law,2023,2022,311,168,140,0,2,51,72,38,34,0,0,12,238,130,106,0,2,39,7,7,0,,,
00291300,Campbell University,2023,2022,112,56,56,0,0,19,35,19,16,0,0,3,77,37,40,0,0,16,5,5,0,,,
00292002,Duke University,2023,2022,211,114,97,0,0,35,101,53,48,0,0,21,110,61,49,0,0,14,14,14,0,,,
00292701,Elon University,2023,2022,64,24,40,0,0,18,34,14,20,0,0,7,30,10,20,0,0,11,4,4,0,,,
00295000,North Carolina Central University,2023,2022,65,26,39,0,0,45,33,11,22,0,0,24,32,15,17,0,0,21,5,5,0,,,
00297400,University of North Carolina,2023,2022,166,86,79,1,0,20,65,30,35,0,0,10,101,56,44,1,0,10,12,12,0,,,
00297805,Wake Forest University,2023,2022,97,52,45,0,0,16,49,24,25,0,0,11,48,28,20,0,0,5,7,7,0,,,
00300500,University of North Dakota,2023,2022,34,20,14,0,0,5,21,10,11,0,0,3,13,10,3,0,0,2,3,3,0,,,
00302302,Capital University,2023,2022,77,53,24,0,0,11,24,12,12,0,0,2,53,41,12,0,0,9,3,3,0,,,
00302400,Case Western Reserve University,2023,2022,124,83,40,0,0,8,45,27,18,0,0,6,78,56,22,0,0,2,6,6,0,,,
00303200,Cleveland State University,2023,2022,198,123,75,0,0,25,29,15,14,0,0,7,169,108,61,0,0,18,7,7,0,,,
00308900,Ohio Northern University,2023,2022,23,15,8,0,0,3,20,13,7,0,0,3,3,2,1,0,0,0,3,2,1,,,
00309000,The Ohio State University,2023,2022,136,75,61,0,0,24,51,24,27,0,0,11,85,51,34,0,0,13,9,9,0,,,
00312300,University of Akron,2023,2022,70,39,31,0,0,6,26,14,12,0,0,3,44,25,19,0,0,3,4,4,0,,,
00312500,University of Cincinnati,2023,2022,112,59,53,0,0,14,42,19,23,0,0,6,70,40,30,0,0,8,7,7,0,,,
